22:01:58  |  Platform  |  Info  |  * Initialise: RenderManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\Platforms\OpenGL\OpenGLPlatform\src\MyGUI_OpenGLRenderManager.cpp  |  31
22:01:58  |  Platform  |  Info  |  RenderManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\Platforms\OpenGL\OpenGLPlatform\src\MyGUI_OpenGLRenderManager.cpp  |  42
22:01:58  |  Platform  |  Info  |  * Initialise: DataManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\Platforms\OpenGL\OpenGLPlatform\src\MyGUI_OpenGLDataManager.cpp  |  24
22:01:58  |  Platform  |  Info  |  DataManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\Platforms\OpenGL\OpenGLPlatform\src\MyGUI_OpenGLDataManager.cpp  |  26
22:01:58  |  Core  |  Info  |  * Initialise: Gui  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_Gui.cpp  |  75
22:01:58  |  Core  |  Info  |  * MyGUI version 3.2.0  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_Gui.cpp  |  87
22:01:58  |  Core  |  Info  |  * Initialise: ResourceManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  48
22:01:59  |  Core  |  Info  |  ResourceManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  56
22:01:59  |  Core  |  Info  |  * Initialise: LayerManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  49
22:01:59  |  Core  |  Info  |  LayerManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  57
22:01:59  |  Core  |  Info  |  * Initialise: WidgetManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  67
22:01:59  |  Core  |  Info  |  WidgetManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  98
22:01:59  |  Core  |  Info  |  * Initialise: InputManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_InputManager.cpp  |  58
22:01:59  |  Core  |  Info  |  InputManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_InputManager.cpp  |  78
22:01:59  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  49
22:01:59  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  69
22:01:59  |  Core  |  Info  |  * Initialise: SkinManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  53
22:01:59  |  Core  |  Info  |  SkinManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  61
22:01:59  |  Core  |  Info  |  * Initialise: FontManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_FontManager.cpp  |  48
22:01:59  |  Core  |  Info  |  FontManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_FontManager.cpp  |  57
22:01:59  |  Core  |  Info  |  * Initialise: ControllerManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  46
22:01:59  |  Core  |  Info  |  ControllerManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  56
22:01:59  |  Core  |  Info  |  * Initialise: PointerManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  60
22:01:59  |  Core  |  Info  |  PointerManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  78
22:01:59  |  Core  |  Info  |  * Initialise: ClipboardManager  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  87
22:01:59  |  Core  |  Info  |  ClipboardManager successfully initialized  |  C:\Users\AuniqueMIND\Desktop\GCT\voxilian\MyGUI_3.2.0\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  101
